ovo_Q6 7 5 1	1	0.509088	181	282
ovo_Q6 7 5 1	2	0.509088	115	314
ovo_Q6 7 5 1	3	0.509088	73	325
ovo_Q6_no_cons 7 5 1	1	0.516809	424	191
ovo_Q6_no_cons 7 5 1	2	0.516809	273	249
ovo_Q6_no_cons 7 5 1	3	0.516809	220	271
ovo_Q6 7 6 1	1	0.511822	109	306
ovo_Q6 7 6 1	2	0.511822	61	330
ovo_Q6 7 6 1	3	0.511822	34	339
ovo_Q6_no_cons 7 6 1	1	0.51961	300	232
ovo_Q6_no_cons 7 6 1	2	0.51961	181	283
ovo_Q6_no_cons 7 6 1	3	0.51961	126	308
ovo_Q6 7 7 1	1	0.50968	49	329
ovo_Q6 7 7 1	2	0.50968	15	344
ovo_Q6 7 7 1	3	0.50968	6	348
ovo_Q6_no_cons 7 7 1	1	0.509615	195	277
ovo_Q6_no_cons 7 7 1	2	0.509615	87	322
ovo_Q6_no_cons 7 7 1	3	0.509615	45	335
ovo_Q6 7 8 1	1	0.508443	23	339
ovo_Q6 7 8 1	2	0.508443	4	348
ovo_Q6 7 8 1	3	0.508443	1	350
ovo_Q6_no_cons 7 8 1	1	0.493716	102	322
ovo_Q6_no_cons 7 8 1	2	0.493716	21	341
ovo_Q6_no_cons 7 8 1	3	0.493716	10	348
ovo_Q6 7 9 1	1	0.504438	11	346
ovo_Q6 7 9 1	2	0.504438	2	351
ovo_Q6 7 9 1	3	0.504438	0	352
ovo_Q6_no_cons 7 9 1	1	0.502139	27	342
ovo_Q6_no_cons 7 9 1	2	0.502139	4	350
ovo_Q6_no_cons 7 9 1	3	0.502139	1	352
